market_id,price_timestamp,settlement_price,hour,peak_type
1,2025-01-01 00:00:00,84.97,0,Off-Peak
1,2025-01-01 01:00:00,78.62,1,Off-Peak
1,2025-01-01 02:00:00,95.79,2,Off-Peak
1,2025-01-01 03:00:00,87.67,3,Off-Peak
1,2025-01-01 04:00:00,75.37,4,Off-Peak
1,2025-01-01 05:00:00,75.34,5,Off-Peak
1,2025-01-01 06:00:00,84.87,6,Off-Peak
1,2025-01-01 07:00:00,98.14,7,Off-Peak
1,2025-01-01 08:00:00,125.68,8,Peak
1,2025-01-01 09:00:00,110.75,9,Peak
1,2025-01-01 10:00:00,118.99,10,Peak
1,2025-01-01 11:00:00,122.08,11,Peak
1,2025-01-01 12:00:00,103.23,12,Off-Peak
1,2025-01-01 13:00:00,82.79,13,Off-Peak
1,2025-01-01 14:00:00,102.38,14,Off-Peak
1,2025-01-01 15:00:00,96.71,15,Off-Peak
1,2025-01-01 16:00:00,80.21,16,Off-Peak
1,2025-01-01 17:00:00,87.8,17,Off-Peak
1,2025-01-01 18:00:00,148.24,18,Peak
1,2025-01-01 19:00:00,141.15,19,Peak
1,2025-01-01 20:00:00,155.31,20,Peak
1,2025-01-01 21:00:00,154.31,21,Peak
1,2025-01-01 22:00:00,148.31,22,Peak
1,2025-01-01 23:00:00,104.76,23,Off-Peak
1,2025-01-02 00:00:00,88.13,0,Off-Peak
1,2025-01-02 01:00:00,93.56,1,Off-Peak
1,2025-01-02 02:00:00,83.61,2,Off-Peak
1,2025-01-02 03:00:00,95.38,3,Off-Peak
1,2025-01-02 04:00:00,80.87,4,Off-Peak
1,2025-01-02 05:00:00,77.01,5,Off-Peak
1,2025-01-02 06:00:00,109.78,6,Off-Peak
1,2025-01-02 07:00:00,89.82,7,Off-Peak
1,2025-01-02 08:00:00,134.15,8,Peak
1,2025-01-02 09:00:00,128.29,9,Peak
1,2025-01-02 10:00:00,117.98,10,Peak
1,2025-01-02 11:00:00,121.72,11,Peak
1,2025-01-02 12:00:00,95.05,12,Off-Peak
1,2025-01-02 13:00:00,92.65,13,Off-Peak
1,2025-01-02 14:00:00,93.39,14,Off-Peak
1,2025-01-02 15:00:00,99.04,15,Off-Peak
1,2025-01-02 16:00:00,75.81,16,Off-Peak
1,2025-01-02 17:00:00,94.73,17,Off-Peak
1,2025-01-02 18:00:00,143.08,18,Peak
1,2025-01-02 19:00:00,148.02,19,Peak
1,2025-01-02 20:00:00,156.43,20,Peak
1,2025-01-02 21:00:00,152.52,21,Peak
1,2025-01-02 22:00:00,150.87,22,Peak
1,2025-01-02 23:00:00,116.9,23,Off-Peak
1,2025-01-03 00:00:00,81.0,0,Off-Peak
1,2025-01-03 01:00:00,74.97,1,Off-Peak
1,2025-01-03 02:00:00,69.38,2,Off-Peak
1,2025-01-03 03:00:00,84.74,3,Off-Peak
1,2025-01-03 04:00:00,72.17,4,Off-Peak
1,2025-01-03 05:00:00,76.78,5,Off-Peak
1,2025-01-03 06:00:00,97.27,6,Off-Peak
1,2025-01-03 07:00:00,108.07,7,Off-Peak
1,2025-01-03 08:00:00,127.6,8,Peak
1,2025-01-03 09:00:00,132.82,9,Peak
1,2025-01-03 10:00:00,127.5,10,Peak
1,2025-01-03 11:00:00,128.46,11,Peak
1,2025-01-03 12:00:00,228.93,12,Off-Peak
1,2025-01-03 13:00:00,87.86,13,Off-Peak
1,2025-01-03 14:00:00,81.7,14,Off-Peak
1,2025-01-03 15:00:00,94.75,15,Off-Peak
1,2025-01-03 16:00:00,101.34,16,Off-Peak
